ISO,Year,Value
FJI,1972,4.79047237049832
FJI,1973,4.63377330867232
FJI,1974,3.95734810826136
FJI,1975,3.79457272768179
FJI,1976,3.89391782438128
FJI,1977,4.08806518507987
FJI,1978,4.058417810662689
FJI,1979,4.808476108926901
FJI,1980,4.14860517532951
FJI,1981,4.54926756124512
FJI,1982,4.8435897918948605
FJI,1983,3.42080581421221
FJI,1984,4.897213978732268
FJI,1985,3.9306422959869294
FJI,1986,4.85794013419714
FJI,1987,3.8214688133851498
FJI,1988,4.0425372601122405
FJI,1989,4.35049735841288
FJI,1990,4.06685420720694
FJI,1991,3.38045628028612
FJI,1992,3.69471908128919
FJI,1993,3.64968626550087
FJI,1994,3.72064625338781
FJI,1995,3.64179414687638
FJI,1996,3.32228247883104
FJI,1997,3.32456240820157
FJI,1998,2.516034175102
FJI,1999,3.1284301571240496
FJI,2000,3.08282862679959
FJI,2001,2.83054678705589
FJI,2002,2.7800026292057503
FJI,2003,2.57299258074731
FJI,2004,2.71317411817986
FJI,2005,2.57530437520737
FJI,2006,2.63891497389027
FJI,2007,2.29754049221758
FJI,2008,1.99881662838802
FJI,2009,1.96482566163762
FJI,2010,1.88982584561814
FJI,2011,1.90335770833157
FJI,2012,1.73596597673352
FJI,2013,1.63651507341101
FJI,2014,1.7611904334251
FJI,2015,1.65992326698372
FIN,1970,0.875955742765876
FIN,1971,0.881855753535302
FIN,1972,0.7960957400793259
FIN,1973,0.7619200293239309
FIN,1974,0.832160067777106
FIN,1975,0.7589187559762121
FIN,1976,0.7285651478628621
FIN,1977,0.7200364087207579
FIN,1978,0.7130523281167191
FIN,1979,0.7281203468956551
FIN,1980,0.6838998078032379
FIN,1981,0.6109302557700931
FIN,1982,0.6422323944469089
FIN,1983,0.6485574914362829
FIN,1984,0.590390257812137
FIN,1985,0.580580930541818
FIN,1986,0.6330954195159201
FIN,1987,0.5731502784756589
FIN,1988,0.5789350757605151
FIN,1989,0.6281373561100699
FIN,1990,0.628561014867986
FIN,1991,0.5363927598788889
FIN,1992,0.569598251630153
FIN,1993,0.5383743807216149
FIN,1994,0.604432556742074
FIN,1995,0.524275007187929
FIN,1996,0.526642835564726
FIN,1997,0.513355489785806
FIN,1998,0.429102683935215
FIN,1999,0.587387998000176
FIN,2000,0.5388230113891671
FIN,2001,0.7776575053036758
FIN,2002,0.7663594447612759
FIN,2003,0.8068314279396859
FIN,2004,0.769429899685126
FIN,2005,0.76025612788902
FIN,2006,0.7930863086710329
FIN,2007,0.7632101226585271
FIN,2008,0.7577519837382671
FIN,2009,0.680195711808261
FIN,2010,0.644932016739718
FIN,2011,0.664932368519633
FIN,2012,0.6334650326911629
FIN,2013,0.663753960521963
FIN,2014,0.6585093676641509
FIN,2015,0.6357599873680749
FRA,1970,0.811676969622677
FRA,1971,0.779483330619097
FRA,1972,0.768086141034337
FRA,1973,0.777943599708679
FRA,1974,0.745468542887727
FRA,1975,0.698558706193486
FRA,1976,0.6904090732806141
FRA,1977,0.6477557446785589
FRA,1978,0.61789920519561
